sku,mpn,category,group,properties,mpn,rrp,inkoop
CHE5AVTV,8714767628309,Boot mat,velour,,CK-SCH01V,64.95,32.21
CHE2AVTV,8714767628354,Boot mat,velour,High boot floor,CK-SCH08V,64.95,32.21
CHE3AVTV,8714767628361,Boot mat,velour,Low boot floor,CK-SCH09V,64.95,32.21
CHE4AVTV,8714767628422,Boot mat,velour,,CK-SCH16V,64.95,32.21
CHE1CATV,8714767628323,Boot mat,velour,,CK-SCH03V,64.95,32.21
CHE1CRTV,8714767628378,Boot mat,velour,,CK-SCH11V,64.95,32.21
CHE2CRTV,8714767628330,Boot mat,velour,,CK-SCH04V,64.95,32.21
CHE3CRTV,8714767628385,Boot mat,velour,,CK-SCH12V,64.95,32.21
CHE1KATV,8714767628651,Boot mat,velour,,CK-SDW01V,64.95,32.21
CHE2KATV,8714767628668,Boot mat,velour,,CK-SDW02V,64.95,32.21
CHE1LCTV,8714767628415,Boot mat,velour,,CK-SCH15V,64.95,32.21
CHE2LCTV,8714767628675,Boot mat,velour,,CK-SDW03V,64.95,32.21
CHE3LCTV,8714767628682,Boot mat,velour,,CK-SDW04V,64.95,32.21
CHE1NUTV,8714767628699,Boot mat,velour,,CK-SDW05V,64.95,32.21
CHE2NUTV,8714767628705,Boot mat,velour,,CK-SDW06V,64.95,32.21
CHE1ORTV,8714767628347,Boot mat,velour,,CK-SCH07V,64.95,32.21
CHE1SPTV,8714767628392,Boot mat,velour,,CK-SCH13V,64.95,32.21
CHE1TRTV,8714767628408,Boot mat,velour,,CK-SCH14V,64.95,32.21
CITROËN,,,,,,,
,,Boot mats velour,,,,,
CIT4BETV,8714767628439,Boot mat,velour,,CK-SCI01V,64.95,32.21
CIT3BETV,8714767628446,Boot mat,velour,,CK-SCI02V,64.95,32.21
CIT1BETV,8714767628583,Boot mat,velour,Short wheelbase,CK-SCI18V,64.95,32.21
CIT2BETV,8714767628606,Boot mat,velour,Long wheelbase,CK-SCI20V,64.95,32.21
CIT1C1TV,8714767628545,Boot mat,velour,,CK-SCI14V,64.95,32.21
CIT3C3TV,8714767628576,Boot mat,velour,,CK-SCI17V,64.95,32.21
CIT6C3TV,8719457654132,Boot mat,velour,Incl. C3 Aircross Electric (EV),CK-SOP42V,64.95,32.21
CIT1C3TV,8714767628491,Boot mat,velour,,CK-SCI07V,64.95,32.21
CIT2C3TV,8714767628569,Boot mat,velour,,CK-SCI16V,64.95,32.21
CIT5C3TV,8719457654019,Boot mat,velour,,CK-SCI24V,64.95,32.21
CIT4C3TV,8714767628453,Boot mat,velour,,CK-SCI03V,64.95,32.21
CIT8C4TV,8714767630500,Boot mat,velour,,CK-SMT04V,64.95,32.21
CIT2C4TV,8714767628590,Boot mat,velour,,CK-SCI19V,64.95,32.21
CIT1C4TV,8714767628507,Boot mat,velour,,CK-SCI08V,64.95,32.21
CIT4C4TV,8714767628637,Boot mat,velour,Incl. ë-C4,CK-SCI23V,64.95,32.21
CIT5C4TV,8714767628514,Boot mat,velour,,CK-SCI09V,64.95,32.21
CIT6C4TV,8714767628460,Boot mat,velour,5-seater; Only for models with trolley cutout,CK-SCI04V,64.95,32.21
CIT7C4TV,8714767628538,Boot mat,velour,,CK-SCI12V,64.95,32.21
CIT4C5TV,8714767628477,Boot mat,velour,,CK-SCI05V,64.95,32.21
CIT1C5TV,8714767628613,Boot mat,velour,Low boot floor,CK-SCI21V,64.95,32.21
CIT3C5TV,8714767628521,Boot mat,velour,Only for short version,CK-SCI10V,64.95,32.21
CIT2C5TV,8714767628484,Boot mat,velour,Only for long version,CK-SCI06V,64.95,32.21
CIT3C4TV,8714767628552,Boot mat,velour,,CK-SCI15V,64.95,32.21
DACIA,,,,,,,
,,Boot mats velour,,,,,
DAC1BITV,8721464013345,Boot mat,velour,,CK-SRE47V,64.95,32.21
DAC1DOTV,8714767631552,Boot mat,velour,,CK-SRE18V,64.95,32.21
DAC1DUTV,8714767631514,Boot mat,velour,Only for two-wheel drive (2WD),CK-SRE14V,64.95,32.21
DAC2DUTV,8714767631507,Boot mat,velour,Only for four-wheel drive (4WD),CK-SRE13V,64.95,32.21
DAC3DUTV,8714767631675,Boot mat,velour,Only for two-wheel drive (2WD),CK-SRE30V,64.95,32.21
DAC4DUTV,8714767631682,Boot mat,velour,Only for four-wheel drive (4WD),CK-SRE31V,64.95,32.21
DAC5DUTV,8719457863497,Boot mat,velour,,CK-SRE43V,64.95,32.21
DAC1JOTV,8714767641667,Boot mat,velour,,CK-SRE42V,64.95,32.21
DAC1LYTV,8714767631538,Boot mat,velour,,CK-SRE16V,64.95,32.21
DAC1LOTV,8714767631422,Boot mat,velour,,CK-SRE05V,64.95,32.21
DAC2LOTV,8714767631545,Boot mat,velour,,CK-SRE17V,64.95,32.21
DAC1SATV,8714767631484,Boot mat,velour,,CK-SRE11V,64.95,32.21
DAC2SATV,8714767631484,Boot mat,velour,,CK-SRE11V,64.95,32.21
DAC3SATV,8714767631736,Boot mat,velour,,CK-SRE36V,64.95,32.21
DAC4SATV,8719457449202,Boot mat,velour,High boot floor; Incl. Stepway,CK-SRE39V,64.95,32.21
DAC1SPTV,8719457025642,Boot mat,velour,,CK-SRE38V,64.95,32.21
DAIHATSU,,,,,,,
,,Boot mats velour,,,,,
DAI1TETV,8714767628644,Boot mat,velour,,CK-SDA01V,64.95,32.21
DS,,,,,,,
,,Boot mats velour,,,,,
CIT1D3TV,8714767628620,Boot mat,velour,Incl. E-Tense,CK-SCI22V,64.95,32.21
FIAT,,,,,,,
,,Boot mats velour,,,,,
FIA150TV,8714767628781,Boot mat,velour,Incl. 500e,CK-SFI08V,64.95,32.21
FIA250TV,8714767628835,Boot mat,velour,Excl. 500L Living ,CK-SFI13V,64.95,32.21
FIA350TV,8714767628842,Boot mat,velour,,CK-SFI14V,64.95,32.21
FIA160TV,8719457905111,Boot mat,velour,High boot floor; Incl. La Prima,CK-SFI20V,64.95,32.21
FIA260TV,8719457654170,Boot mat,velour,Only for RED Electric (EV),CK-SFI21V,64.95,32.21
FIA1BRTV,8714767628750,Boot mat,velour,,CK-SFI05V,64.95,32.21
FIA1CRTV,8714767628729,Boot mat,velour,,CK-SFI02V,64.95,32.21
FIA1DOTV,8714767631095,Boot mat,velour,Not for Doblò Maxi or Multispace,CK-SOP37V,64.95,32.21
FIA2DOTV,8714767631071,Boot mat,velour,Only for Doblò Maxi,CK-SOP35V,64.95,32.21
FIA3DOTV,8714767628767,Boot mat,velour,Only for Doblò Multispace,CK-SFI06V,64.95,32.21
FIA1FRTV,8714767628804,Boot mat,velour,,CK-SFI10V,64.95,32.21
FIA1GPTV,8719457654163,Boot mat,velour,Incl. Grande Panda Electric (EV),CK-SFI22V,64.95,32.21
FIA1PUTV,8714767628736,Boot mat,velour,,CK-SFI03V,64.95,32.21
FIA1PATV,8714767628774,Boot mat,velour,,CK-SFI07V,64.95,32.21
FIA2PATV,8714767628798,Boot mat,velour,,CK-SFI09V,64.95,32.21
FIA2PUTV,8714767628811,Boot mat,velour,,CK-SFI11V,64.95,32.21
FIA3PUTV,8714767628743,Boot mat,velour,,CK-SFI04V,64.95,32.21
FIA1QUTV,8714767628859,Boot mat,velour,Only for 5-seater,CK-SFI15V,64.95,32.21
FIA1SETV,8714767628828,Boot mat,velour,,CK-SFI12V,64.95,32.21
FIA1STTV,8714767628712,Boot mat,velour,,CK-SFI01V,64.95,32.21
FIA1TITV,8714767628873,Boot mat,velour,Only for LPG version,CK-SFI17V,64.95,32.21
FIA2TITV,8714767628897,Boot mat,velour,Not for LPG version,CK-SFI19V,64.95,32.21
FIA3TITV,8714767628866,Boot mat,velour,,CK-SFI16V,64.95,32.21
FIA4TITV,8714767628880,Boot mat,velour,,CK-SFI18V,64.95,32.21
FORTHING,,,,,,,
,,Boot mats velour,,,,,
FRT1T5TV,8719457654026,Boot mat,velour,,CK-SFT01V,64.95,32.21
FORD,,,,,,,
,,Boot mats velour,,,,,
FOR1BMTV,8714767629139,Boot mat,velour,,CK-SFO25V,64.95,32.21
FOR1CMTV,8714767629016,Boot mat,velour,,CK-SFO12V,64.95,32.21
FOR2CMTV,8714767629047,Boot mat,velour,Not for facelift,CK-SFO16V,64.95,32.21
FOR3CMTV,8714767629184,Boot mat,velour,Only for facelift; Not for Hybrid,CK-SFO30V,64.95,32.21
FOR1ECTV,8714767629252,Boot mat,velour,High boot floor,CK-SFO37V,64.95,32.21
FOR1EDTV,8714767629207,Boot mat,velour,,CK-SFO32V,64.95,32.21
FOR1FITV,8714767628958,Boot mat,velour,,CK-SFO06V,64.95,32.21
FOR4FITV,8714767629092,Boot mat,velour,,CK-SFO21V,64.95,32.21
FOR2FITV,8714767628972,Boot mat,velour,,CK-SFO08V,64.95,32.21
FOR3FITV,8714767629214,Boot mat,velour,,CK-SFO33V,64.95,32.21
FOR8FOTV,8714767628903,Boot mat,velour,,CK-SFO01V,64.95,32.21
FOR1FOTV,8714767628910,Boot mat,velour,,CK-SFO02V,64.95,32.21
FOR9FOTV,8714767628927,Boot mat,velour,,CK-SFO03V,64.95,32.21
FOR3FOTV,8714767629061,Boot mat,velour,Only for models with mini spare wheel cutout,CK-SFO18V,64.95,32.21
FOR4FOTV,8714767629146,Boot mat,velour,Only for models with tire repair kit,CK-SFO26V,64.95,32.21
FOR7FOTV,8714767629078,Boot mat,velour,,CK-SFO19V,64.95,32.21
FOR10FOTV,8714767629085,Boot mat,velour,,CK-SFO20V,64.95,32.21
FOR5FOTV,8714767629221,Boot mat,velour,High boot floor,CK-SFO34V,64.95,32.21
FOR6FOTV,8714767629245,Boot mat,velour,,CK-SFO36V,64.95,32.21
FOR1FUTV,8714767628941,Boot mat,velour,Only for Facelift,CK-SFO05V,64.95,32.21
FOR1GCTV,8714767629030,Boot mat,velour,,CK-SFO15V,64.95,32.21
FOR1KATV,8714767629054,Boot mat,velour,,CK-SFO17V,64.95,32.21
FOR1KUTV,8714767629009,Boot mat,velour,,CK-SFO11V,64.95,32.21
FOR2KUTV,8714767629122,Boot mat,velour,,CK-SFO24V,64.95,32.21
FOR3KUTV,8714767629238,Boot mat,velour,,CK-SFO35V,64.95,32.21
FOR5MOTV,8714767629108,Boot mat,velour,,CK-SFO22V,64.95,32.21
FOR1MOTV,8714767628965,Boot mat,velour,,CK-SFO07V,64.95,32.21
FOR6MOTV,8714767628934,Boot mat,velour,,CK-SFO04V,64.95,32.21
FOR2MOTV,8714767628989,Boot mat,velour,,CK-SFO09V,64.95,32.21
FOR7MOTV,8714767628996,Boot mat,velour,,CK-SFO10V,64.95,32.21
FOR3MOTV,8714767629153,Boot mat,velour,Only for Hybrid,CK-SFO27V,64.95,32.21
FOR4MOTV,8714767629160,Boot mat,velour,,CK-SFO28V,64.95,32.21
FOR1MUTV,8719457022955,Boot mat,velour,,CK-SFO40V,64.95,32.21
FOR1PUTV,8719457238028,Boot mat,velour,High boot floor,CK-SFO38V,64.95,32.21
FOR2PUTV,8719457238035,Boot mat,velour,Low boot floor,CK-SFO39V,64.95,32.21
FOR1SMTV,8714767629023,Boot mat,velour,Only for 5-seater,CK-SFO14V,64.95,32.21
FOR2SMTV,8714767629177,Boot mat,velour,,CK-SFO29V,64.95,32.21
FOR1TOTV,8714767629191,Boot mat,velour,Only for 5-seater,CK-SFO31V,64.95,32.21
FOR1TRTV,8719457546857,Boot mat,velour,Only for M1 320 models; Long wheelbase,CK-SFO42V,64.95,32.21
HONDA,,,,,,,
,,Boot mats velour,,,,,
HON1ACTV,8714767629290,Boot mat,velour,,CK-SHO05V,64.95,32.21
HON2ACTV,8714767629306,Boot mat,velour,,CK-SHO06V,64.95,32.21
HON1CITV,8714767629269,Boot mat,velour,,CK-SHO02V,64.95,32.21
HON2CITV,8714767629320,Boot mat,velour,,CK-SHO08V,64.95,32.21
HON3CITV,8714767629405,Boot mat,velour,,CK-SHO17V,64.95,32.21
HON4CITV,8714767629313,Boot mat,velour,,CK-SHO07V,64.95,32.21
HON5CITV,8714767629337,Boot mat,velour,,CK-SHO09V,64.95,32.21
HON6CITV,8714767629368,Boot mat,velour,,CK-SHO12V,64.95,32.21
HON1CVTV,8714767629276,Boot mat,velour,,CK-SHO03V,64.95,32.21
HON2CVTV,8714767629351,Boot mat,velour,,CK-SHO11V,64.95,32.21
HON3CVTV,8714767629399,Boot mat,velour,High boot floor; Only for models with full size spare tire,CK-SHO16V,64.95,32.21
HON1HVTV,8714767629375,Boot mat,velour,,CK-SHO14V,64.95,32.21
HON2HVTV,8719457022962,Boot mat,velour,,CK-SHO20V,64.95,32.21
HON1JATV,8714767629283,Boot mat,velour,,CK-SHO04V,64.95,32.21
HON2JATV,8714767629382,Boot mat,velour,,CK-SHO15V,64.95,32.21
HON3JATV,8714767629412,Boot mat,velour,Only for Crosstar,CK-SHO18V,64.95,32.21
HON4JATV,8714767629429,Boot mat,velour,Not for Crosstar,CK-SHO19V,64.95,32.21
HYUNDAI,,,,,,,
,,Boot mats velour,,,,,
HYU1BATV,8719457449141,Boot mat,velour,,CK-SHY32V,64.95,32.21
HYU1ELTV,8714767629603,Boot mat,velour,,CK-SHY20V,64.95,32.21
HYU1COTV,8714767629535,Boot mat,velour,Only for facelift,CK-SHY12V,64.95,32.21
HYU1I1TV,8714767629627,Boot mat,velour,,CK-SHY22V,64.95,32.21
HYU2I1TV,8714767629696,Boot mat,velour,,CK-SHY29V,64.95,32.21
HYU3I1TV,8714767629498,Boot mat,velour,,CK-SHY08V,64.95,32.21
HYU1I2TV,8714767629634,Boot mat,velour,,CK-SHY23V,64.95,32.21
HYU2I2TV,8714767629481,Boot mat,velour,,CK-SHY07V,64.95,32.21
HYU3I2TV,8719457449158,Boot mat,velour,,CK-SHY33V,64.95,32.21
HYU1I3TV,8714767629450,Boot mat,velour,,CK-SHY04V,64.95,32.21
HYU2I3TV,8714767629573,Boot mat,velour,,CK-SHY16V,64.95,32.21
HYU3I3TV,8714767629665,Boot mat,velour,,CK-SHY26V,64.95,32.21
HYU4I3TV,8714767629467,Boot mat,velour,,CK-SHY05V,64.95,32.21
HYU5I3TV,8714767629597,Boot mat,velour,,CK-SHY19V,64.95,32.21
HYU6I3TV,8714767629658,Boot mat,velour,Only for models with double boot floor,CK-SHY25V,64.95,32.21
HYU1I4TV,8714767629580,Boot mat,velour,,CK-SHY18V,64.95,32.21
HYU2I4TV,8714767629511,Boot mat,velour,,CK-SHY10V,64.95,32.21
HYU1INTV,8721464013239,Boot mat,velour,,CK-SHY35V,64.95,32.21
HYU1IOTV,8714767629689,Boot mat,velour,Only for facelift,CK-SHY28V,64.95,32.21
HYU1I5TV,8719457270639,Boot mat,velour,,CK-SHY31V,64.95,32.21
HYU1X2TV,8714767629566,Boot mat,velour,Low boot floor,CK-SHY15V,64.95,32.21
HYU2X2TV,8714767629559,Boot mat,velour,Only for flat boot floor,CK-SHY14V,64.95,32.21
HYU1X3TV,8714767629504,Boot mat,velour,,CK-SHY09V,64.95,32.21
HYU1X5TV,8714767629528,Boot mat,velour,,CK-SHY11V,64.95,32.21
HYU1KOTV,8714767629672,Boot mat,velour,,CK-SHY27V,64.95,32.21
HYU2KOTV,8719457654040,Boot mat,velour,High boot floor,CK-SHY34V,64.95,32.21
HYU1MATV,8714767629436,Boot mat,velour,,CK-SHY002V,64.95,32.21
HYU1SFTV,8714767629474,Boot mat,velour,,CK-SHY06V,64.95,32.21
HYU2SFTV,8714767629610,Boot mat,velour,,CK-SHY21V,64.95,32.21
HYU1TUTV,8714767629702,Boot mat,velour,Only for full hybrid,CK-SHY30V,64.95,32.21
HYU2TUTV,8714767629443,Boot mat,velour,,CK-SHY003V,64.95,32.21
HYU3TUTV,8714767629641,Boot mat,velour,,CK-SHY24V,64.95,32.21
HYU1VETV,8714767629542,Boot mat,velour,,CK-SHY13V,64.95,32.21
JAGUAR,,,,,,,
,,Boot mats velour,,,,,
JAG1IPTV,8714767629719,Boot mat,velour,,CK-SJA01V,64.95,32.21
JEEP,,,,,,,
,,Boot mats velour,,,,,
JEE1AVTV,8719457546864,Boot mat,velour,High boot floor,CK-SJE04V,64.95,32.21
JEE1CHTV,8714767629726,Boot mat,velour,,CK-SJE01V,64.95,32.21
JEE1COTV,8714767629740,Boot mat,velour,High boot floor,CK-SJE03V,64.95,32.21
JEE1RETV,8714767629733,Boot mat,velour,,CK-SJE02V,64.95,32.21
KIA,,,,,,,
,,Boot mats velour,,,,,
KIA1CATV,8714767629894,Boot mat,velour,,CK-SKI15V,64.95,32.21
KIA2CETV,8714767629771,Boot mat,velour,,CK-SKI03V,64.95,32.21
KIA3CETV,8714767629863,Boot mat,velour,,CK-SKI12V,64.95,32.21
KIA1CETV,8714767629993,Boot mat,velour,,CK-SKI25V,64.95,32.21
KIA4CETV,8714767629788,Boot mat,velour,,CK-SKI04V,64.95,32.21
KIA5CETV,8714767629870,Boot mat,velour,,CK-SKI13V,64.95,32.21
KIA1SLTV,8714767630029,Boot mat,velour,,CK-SKI28V,64.95,32.21
KIA1E3TV,8719457654064,Boot mat,velour,,CK-SKI33V,64.95,32.21
KIA2E3TV,8721464013260,Boot mat,velour,Low boot floor,CK-SKI35V,64.95,32.21
KIA1E4TV,8721464013277,Boot mat,velour,,CK-SKI36V,64.95,32.21
KIA1E9TV,8719457654071,Boot mat,velour,,CK-SKI34V,64.95,32.21
KIA1NITV,8714767629962,Boot mat,velour,High boot floor,CK-SKI22V,64.95,32.21
KIA4NITV,8719457905128,Boot mat,velour,High boot floor; Incl. models with subwoofer,CK-SKI32V,64.95,32.21
KIA2NITV,8719457025529,Boot mat,velour,,CK-SKI30V,64.95,32.21
KIA3NITV,8719457546871,Boot mat,velour,High boot floor; Only for Plug-in Hybrid,CK-SKI31V,64.95,32.21
KIA1OPTV,8714767629924,Boot mat,velour,,CK-SKI18V,64.95,32.21
KIA2PITV,8714767629986,Boot mat,velour,,CK-SKI24V,64.95,32.21
KIA1PITV,8714767629825,Boot mat,velour,,CK-SKI08V,64.95,32.21
KIA1PCTV,8714767630005,Boot mat,velour,,CK-SKI26V,64.95,32.21
KIA1RITV,8714767629832,Boot mat,velour,,CK-SKI09V,64.95,32.21
KIA2RITV,8714767629955,Boot mat,velour,,CK-SKI21V,64.95,32.21
KIA1SOTV,8714767629757,Boot mat,velour,,CK-SKI01V,64.95,32.21
KIA5SOTV,8714767630012,Boot mat,velour,Only for 7-seater,CK-SKI27V,64.95,32.21
KIA4SOTV,8714767629917,Boot mat,velour,,CK-SKI17V,64.95,32.21
KIA2SOTV,8714767629801,Boot mat,velour,Only for 5-seater,CK-SKI06V,64.95,32.21
KIA3SOTV,8714767629900,Boot mat,velour,Only for facelift,CK-SKI16V,64.95,32.21
KIA2SLTV,8714767629887,Boot mat,velour,,CK-SKI14V,64.95,32.21
KIA4SLTV,8714767629948,Boot mat,velour,,CK-SKI20V,64.95,32.21
KIA5SLTV,8719457449165,Boot mat,velour,Only for XL,CK-SKI05V,64.95,32.21
KIA1SPTV,8714767629764,Boot mat,velour,,CK-SKI02V,64.95,32.21
KIA2SPTV,8714767629856,Boot mat,velour,,CK-SKI11V,64.95,32.21
KIA3SPTV,8714767629931,Boot mat,velour,,CK-SKI19V,64.95,32.21
